age,income,loan_amount,credit_history_years,existing_loans,employment_years,debt_to_income,default
59,21310.69,17154.96,21,3,9,0.805,1
49,28853.34,7484.15,23,4,24,0.259,0
35,41357.53,11603.03,16,3,29,0.281,0
63,81292.39,29584.97,5,1,22,0.364,0
28,45064.99,18994.9,24,2,9,0.422,0
41,40628.62,12282.28,14,4,29,0.302,0
59,16530.3,18524.86,12,2,3,1.121,1
39,36866.3,17141.31,17,0,28,0.465,0
43,25341.27,8284.48,10,4,10,0.327,1
31,29936.4,12049.53,12,0,27,0.403,0
31,52399.01,33036.29,0,4,21,0.63,1
44,41976.72,18136.02,17,1,10,0.432,0
56,83989.89,2447.66,4,2,10,0.029,0
60,71560.07,19081.68,5,2,21,0.267,0
44,37822.32,25424.71,0,3,5,0.672,1
23,31663.64,7764.97,6,4,14,0.245,1
42,77652.84,11345.26,3,4,1,0.146,1
22,83200.85,26630.17,8,0,20,0.32,0
44,10000.0,15279.3,14,4,22,1.528,1
64,51857.15,13856.97,5,2,21,0.267,0
50,44962.43,4311.54,24,4,2,0.096,0
58,62982.4,23564.53,16,3,26,0.374,0
22,88853.36,13492.25,19,3,27,0.152,0
41,40318.86,1000.0,17,2,4,0.025,0
53,10000.0,2418.9,21,2,28,0.242,0
32,61580.15,10507.36,3,2,23,0.171,0
42,77799.28,6417.26,8,4,10,0.082,0
64,43924.8,7672.31,13,4,20,0.175,0
45,35899.25,33757.36,2,1,11,0.94,1
47,41254.81,20660.18,0,0,25,0.501,1
62,67004.11,1000.0,10,4,2,0.015,0
48,40910.78,12485.42,0,1,8,0.305,0
36,56575.21,14284.05,11,1,26,0.252,0
35,50556.06,3184.53,24,3,2,0.063,0
64,48492.41,19275.09,8,4,1,0.397,1
23,64025.85,1000.0,4,1,5,0.016,0
57,40428.4,23775.58,14,3,23,0.588,1
27,41388.27,26532.24,17,0,5,0.641,0
41,65952.06,33820.68,8,3,16,0.513,1
29,30261.49,2405.37,12,0,7,0.079,0
59,32395.6,4032.82,12,2,0,0.124,0
38,24793.71,20541.38,23,2,24,0.828,1
24,66980.22,24461.44,12,3,7,0.365,1
45,47895.26,21471.62,9,2,21,0.448,1
34,23727.7,23637.74,9,4,14,0.996,1
29,67076.17,26014.62,21,3,17,0.388,1
46,38889.16,16618.0,6,1,12,0.427,0
22,32566.44,13299.6,21,4,24,0.408,0
40,46086.43,4054.58,4,3,7,0.088,0
48,79574.47,12615.16,19,0,28,0.159,0
27,42100.76,13840.89,6,2,19,0.329,1
64,61506.78,7402.52,19,2,17,0.12,0
28,64541.6,14694.21,9,2,12,0.228,0
55,58865.47,6500.97,9,3,13,0.11,0
34,75421.43,23906.66,24,4,14,0.317,0
37,35857.68,18406.6,20,0,5,0.513,0
56,29133.3,11323.17,23,2,0,0.389,0
60,28740.67,16510.72,12,4,6,0.574,1
24,47110.63,6159.28,14,1,0,0.131,0
22,31059.07,6970.46,5,1,14,0.224,0
26,52950.82,9929.16,19,0,28,0.188,0
62,51539.77,13464.58,11,2,5,0.261,0
24,70371.47,16129.61,18,1,4,0.229,0
49,55822.89,16161.25,10,4,11,0.29,0
38,41676.96,4449.78,5,4,25,0.107,0
46,58216.98,14354.17,0,1,29,0.247,0
64,29396.12,8455.56,1,2,2,0.288,1
54,49237.19,1000.0,22,0,21,0.02,0
30,56388.02,39604.68,14,2,19,0.702,1
56,52586.35,8610.79,3,3,13,0.164,0
34,58301.3,9054.78,4,1,27,0.155,0
51,37119.08,4228.51,14,3,5,0.114,0
35,73040.63,6540.06,10,1,3,0.09,0
28,86443.38,13490.62,9,0,14,0.156,0
34,17946.48,25814.51,16,2,16,1.438,1
43,25688.04,13445.21,1,2,4,0.523,1
60,50861.66,12411.5,19,1,23,0.244,0
41,44868.98,24602.19,23,4,5,0.548,1
36,87928.25,10804.83,9,3,9,0.123,0
38,54395.69,15169.2,19,2,8,0.279,0
44,77850.91,7627.44,2,2,3,0.098,0
46,10000.0,28481.07,18,1,25,2.848,1
45,66283.39,23388.08,4,4,8,0.353,1
61,35689.66,13776.1,2,3,7,0.386,1
49,35369.15,11804.45,7,4,2,0.334,1
35,45032.84,14745.28,4,4,29,0.327,0
21,21508.33,13892.94,11,1,21,0.646,1
45,58855.71,2625.44,13,4,19,0.045,0
27,53814.3,23661.34,6,3,0,0.44,1
29,55323.84,13182.9,10,0,24,0.238,0
44,67740.62,30186.72,7,0,19,0.446,0
21,80295.64,18374.53,4,3,26,0.229,0
64,42725.78,1000.0,7,1,29,0.023,0
28,59547.01,4747.01,11,2,4,0.08,0
44,55859.76,1000.0,14,1,2,0.018,0
31,57552.29,4647.62,18,3,3,0.081,0
